Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.761252446183953,0.145985401459854,0.8,0.24691358024691357,0.8380658436213991
Random Forest,0.9266144814090019,0.16216216216216217,0.12,0.13793103448275862,0.7863888888888888
XGBoost,0.9383561643835616,0.27586206896551724,0.16,0.20253164556962025,0.7966255144032922
SVM,0.7671232876712328,0.11788617886178862,0.58,0.19594594594594594,0.7762345679012346
KNN,0.8052837573385518,0.08839779005524862,0.32,0.13852813852813853,0.6638991769547326
MLP,0.8845401174168297,0.13043478260869565,0.24,0.16901408450704225,0.7534156378600823
